[S1 | outage_30s         | ekf_only  ] n= 37 drift median  27.0% p90  78.1% pass<10%  10.8% | end err median   66.0 m | 0.66 ms/frame | 37s
[S1 | outage_30s         | ekf_ai    ] n= 37 drift median  20.3% p90  36.2% pass<10%  21.6% | end err median   47.8 m | 1.36 ms/frame | 73s
[S1 | outage_30s         | ekf_ai_map] n= 37 drift median  17.9% p90  36.0% pass<10%  35.1% | end err median   43.0 m | 1.63 ms/frame | 87s
[S1 | outage_60s         | ekf_only  ] n= 32 drift median  35.4% p90  78.6% pass<10%   9.4% | end err median  151.3 m | 0.66 ms/frame | 37s
[S1 | outage_60s         | ekf_ai    ] n= 32 drift median  17.7% p90  34.5% pass<10%  25.0% | end err median   71.1 m | 1.34 ms/frame | 72s
[S1 | outage_60s         | ekf_ai_map] n= 32 drift median  11.4% p90  27.8% pass<10%  40.6% | end err median   44.7 m | 1.62 ms/frame | 86s
[S1 | outage_120s        | ekf_only  ] n= 23 drift median  35.3% p90  74.5% pass<10%   0.0% | end err median  320.5 m | 0.66 ms/frame | 37s
[S1 | outage_120s        | ekf_ai    ] n= 23 drift median  12.7% p90  42.8% pass<10%  30.4% | end err median  114.2 m | 1.34 ms/frame | 72s
[S1 | outage_120s        | ekf_ai_map] n= 23 drift median  12.0% p90  35.6% pass<10%  43.5% | end err median   96.8 m | 1.52 ms/frame | 81s
[S1 | ps_50m_under_1min  | ekf_only  ] n= 28 drift median  32.1% p90  50.0% pass<10%   3.6% | end err median   16.1 m | 0.66 ms/frame | 37s
[S1 | ps_50m_under_1min  | ekf_ai    ] n= 28 drift median  37.3% p90  47.3% pass<10%   0.0% | end err median   18.9 m | 1.33 ms/frame | 71s
[S1 | ps_50m_under_1min  | ekf_ai_map] n= 28 drift median  34.6% p90  45.2% pass<10%   7.1% | end err median   17.4 m | 1.51 ms/frame | 81s
[S1 | ps_1km_highway     | ekf_only  ] n=  4 drift median  23.7% p90  53.4% pass<10%  25.0% | end err median  237.5 m | 0.65 ms/frame | 36s
[S1 | ps_1km_highway     | ekf_ai    ] n=  4 drift median  21.5% p90  33.2% pass<10%   0.0% | end err median  215.6 m | 1.33 ms/frame | 71s
[S1 | ps_1km_highway     | ekf_ai_map] n=  4 drift median  16.0% p90  36.8% pass<10%   0.0% | end err median  160.6 m | 1.53 ms/frame | 81s
Saved results/v2/S1_latency1s.json
