[S1 | outage_30s         | ekf_only  ] n= 37 drift median  81.2% p90 115.6% pass<10%   0.0% | end err median  205.5 m | 0.29 ms/frame | 16s
[S1 | outage_30s         | ekf_ai    ] n= 37 drift median  41.0% p90 110.6% pass<10%   2.7% | end err median   91.8 m | 0.74 ms/frame | 40s
[S1 | outage_30s         | ekf_ai_map] n= 37 drift median  45.0% p90  75.2% pass<10%   2.7% | end err median   89.0 m | 0.87 ms/frame | 46s
[S1 | outage_60s         | ekf_only  ] n= 32 drift median  69.7% p90  90.0% pass<10%   6.2% | end err median  275.2 m | 0.32 ms/frame | 18s
[S1 | outage_60s         | ekf_ai    ] n= 32 drift median  31.5% p90  88.3% pass<10%   9.4% | end err median  151.4 m | 0.75 ms/frame | 40s
[S1 | outage_60s         | ekf_ai_map] n= 32 drift median  33.2% p90  57.6% pass<10%  15.6% | end err median  117.4 m | 0.86 ms/frame | 46s
[S1 | outage_120s        | ekf_only  ] n= 23 drift median  57.6% p90  93.0% pass<10%   0.0% | end err median  455.4 m | 0.33 ms/frame | 18s
[S1 | outage_120s        | ekf_ai    ] n= 23 drift median  30.1% p90  93.8% pass<10%   4.3% | end err median  279.0 m | 0.75 ms/frame | 40s
[S1 | outage_120s        | ekf_ai_map] n= 23 drift median  24.8% p90  95.8% pass<10%  26.1% | end err median  244.9 m | 0.90 ms/frame | 48s
[S1 | ps_50m_under_1min  | ekf_only  ] n= 28 drift median 165.9% p90 452.6% pass<10%   0.0% | end err median   83.5 m | 0.31 ms/frame | 17s
[S1 | ps_50m_under_1min  | ekf_ai    ] n= 28 drift median 116.8% p90 321.3% pass<10%   0.0% | end err median   59.1 m | 0.76 ms/frame | 41s
[S1 | ps_50m_under_1min  | ekf_ai_map] n= 28 drift median 119.4% p90 253.4% pass<10%   0.0% | end err median   60.0 m | 0.88 ms/frame | 47s
[S1 | ps_1km_highway     | ekf_only  ] n=  4 drift median  86.6% p90  98.1% pass<10%   0.0% | end err median  866.5 m | 0.33 ms/frame | 18s
[S1 | ps_1km_highway     | ekf_ai    ] n=  4 drift median  27.8% p90  40.5% pass<10%   0.0% | end err median  278.3 m | 0.77 ms/frame | 41s
[S1 | ps_1km_highway     | ekf_ai_map] n=  4 drift median  23.7% p90  33.1% pass<10%   0.0% | end err median  236.8 m | 0.89 ms/frame | 47s
Saved results/v2/S1_phonegps.json
